Coverage,Length,Time,Dataset,Method,Algorithm,m,LogTime
0.91,2.855878162372516,1.222795009613037,Boston,OracleCP,RLM,100,0.08735365764487306
1.0,2.7873468409257414,1.0076699256896973,Boston,FullCP,RLM,1,0.0033182970629476853
0.88,2.824454348964274,76.98461389541626,Boston,FullCP,RLM,100,1.886403935977485
1.0,2.743007289762886,0.011081933975219727,Boston,SplitCP,RLM,1,-1.9553844416407566
0.83,2.4939771651309575,0.010535955429077148,Boston,SplitCP,RLM,100,-1.9773260752659756
1.0,2.880862469422429,0.014782905578613281,Boston,RO-StabCP,RLM,1,-1.8302401970142999
0.91,2.8851452549064915,1.3166601657867432,Boston,RO-StabCP,RLM,100,0.11947369662584983
1.0,2.873677300473132,0.014857292175292969,Boston,LOO-StabCP,RLM,1,-1.8280603359649052
0.91,2.882392484451231,0.01580524444580078,Boston,LOO-StabCP,RLM,100,-1.801198782922064
1.0,2.841402003883752,0.016190052032470703,Boston,OracleCP,RLM,1,-1.790751755485132
0.91,2.862070248121795,1.1977262496948242,Boston,OracleCP,RLM,100,0.07835756777585395
1.0,2.857228582110798,0.9299049377441406,Boston,FullCP,RLM,1,-0.031561446202329174
0.9,2.8169589047674726,74.01678419113159,Boston,FullCP,RLM,100,1.8693302123669666
1.0,2.8790197813858613,0.011713027954101562,Boston,SplitCP,RLM,1,-1.9313308202334747
0.91,2.9561298356938286,0.010772943496704102,Boston,SplitCP,RLM,100,-1.9676656179908905
1.0,2.8993148480145354,0.015400886535644531,Boston,RO-StabCP,RLM,1,-1.8124542787442737
0.91,2.876801984583033,1.228623867034912,Boston,RO-StabCP,RLM,100,0.0894189475950402
1.0,2.8842174976369175,0.015233039855957031,Boston,LOO-StabCP,RLM,1,-1.8172134216191462
0.91,2.8755717479911147,0.014631986618041992,Boston,LOO-StabCP,RLM,100,-1.8346967047236282
1.0,2.8414020038837524,0.016719818115234375,Boston,OracleCP,RLM,1,-1.7767684512977022
0.85,2.7890687093605795,1.2584631443023682,Boston,OracleCP,RLM,100,0.09984050120302491
1.0,2.7877106444271487,1.0505578517913818,Boston,FullCP,RLM,1,0.021419972993254304
0.84,2.7319232759782155,75.3639919757843,Boston,FullCP,RLM,100,1.8771638946566094
1.0,2.8861006392944515,0.011564970016479492,Boston,SplitCP,RLM,1,-1.936855488850507
0.86,2.854707626793637,0.009539127349853516,Boston,SplitCP,RLM,100,-2.0204913532285893
1.0,2.8698840554115703,0.015831947326660156,Boston,RO-StabCP,RLM,1,-1.8004656637093719
0.85,2.8067610858073215,1.2408981323242188,Boston,RO-StabCP,RLM,100,0.0937361309062057
1.0,2.866807507652224,0.01594710350036621,Boston,LOO-StabCP,RLM,1,-1.7973181870921422
0.85,2.804915767676161,0.014684915542602539,Boston,LOO-StabCP,RLM,100,-1.8331285468931149
1.0,2.8414020038838004,0.015673160552978516,Boston,OracleCP,RLM,1,-1.8048434175510066
0.96,2.983010507270316,1.2184560298919678,Boston,OracleCP,RLM,100,0.08580986153072366
1.0,2.7872697605862653,0.9713253974914551,Boston,FullCP,RLM,1,-0.012635255507807846
0.96,2.9289683718600976,72.36765313148499,Boston,FullCP,RLM,100,1.8595444887712465
1.0,2.9517794087194673,0.011339902877807617,Boston,SplitCP,RLM,1,-1.9453906650033281
0.96,2.9188986051647348,0.009685993194580078,Boston,SplitCP,RLM,100,-2.013855840426518
1.0,2.8556994567022547,0.015096902847290039,Boston,RO-StabCP,RLM,1,-1.8211121397461913
0.96,3.0077523295704345,1.220339059829712,Boston,RO-StabCP,RLM,100,0.08648051211320108
1.0,2.858222884984968,0.015331745147705078,Boston,LOO-StabCP,RLM,1,-1.8144084084279437
0.96,3.0059420023358485,0.014597177505493164,Boston,LOO-StabCP,RLM,100,-1.8357311108108345
1.0,2.8414020038838674,0.016412973403930664,Boston,OracleCP,RLM,1,-1.784812734245969
0.84,2.7803742911302107,1.2053508758544922,Boston,OracleCP,RLM,100,0.08111348779552512
1.0,2.786899163836223,0.9813461303710938,Boston,FullCP,RLM,1,-0.008177785691449491
0.84,2.7114738981779647,74.62504315376282,Boston,FullCP,RLM,100,1.8728845952789417
1.0,2.783377080210303,0.011674165725708008,Boston,SplitCP,RLM,1,-1.932774145765483
0.86,2.8889578189330005,0.009541749954223633,Boston,SplitCP,RLM,100,-2.0203719685068933
1.0,2.8665601012333863,0.015322208404541016,Boston,RO-StabCP,RLM,1,-1.8146786349132842
0.85,2.798118265933876,1.2117412090301514,Boston,RO-StabCP,RLM,100,0.08340987767596478
1.0,2.8652810937801982,0.01501917839050293,Boston,LOO-StabCP,RLM,1,-1.8233538243378715
0.85,2.7969861673458216,0.014636039733886719,Boston,LOO-StabCP,RLM,100,-1.8345764201621777
1.0,2.8414020038838395,0.01573777198791504,Boston,OracleCP,RLM,1,-1.8030567511284075
0.94,2.910544821471902,1.2235729694366455,Boston,OracleCP,RLM,100,0.08762987420167737
1.0,2.787656456497086,1.0011389255523682,Boston,FullCP,RLM,1,0.0004943476235285802
0.93,2.871369829006221,72.57579302787781,Boston,FullCP,RLM,100,1.8607917900186912
1.0,2.420995661385094,0.012319087982177734,Boston,SplitCP,RLM,1,-1.9094214430619245
0.95,3.375669518452471,0.01023101806640625,Boston,SplitCP,RLM,100,-1.9900811484360814
1.0,2.855227637145337,0.015989065170288086,Boston,RO-StabCP,RLM,1,-1.796176927326541
0.94,2.931997473274129,1.218181848526001,Boston,RO-StabCP,RLM,100,0.08571212402459906
1.0,2.8575390770884748,0.016774892807006836,Boston,LOO-StabCP,RLM,1,-1.7753402463288164
0.94,2.930590130695815,0.014590024948120117,Boston,LOO-StabCP,RLM,100,-1.8359439654868337
1.0,2.8414020038838155,0.01589202880859375,Boston,OracleCP,RLM,1,-1.7988206563399345
0.86,2.792481686441229,1.2368748188018799,Boston,OracleCP,RLM,100,0.09232574792775337
1.0,2.7875816683331616,0.9399969577789307,Boston,FullCP,RLM,1,-0.026873551955579156
0.86,2.7278730060913388,75.36848211288452,Boston,FullCP,RLM,100,1.8771897688655743
1.0,2.7904704022979576,0.011078834533691406,Boston,SplitCP,RLM,1,-1.9555059239224715
